IDENTIFIER,HOLDER_SECTOR,HOLDER_AREA,OBS_VALUE
DEMO000000,Government,BE,23912311.6
DEMO000000,Investment Funds,NL,24766295.22
DEMO000000,Households,FR,20427383.15
DEMO000001,Investment Funds,FR,27652918.89
DEMO000002,Government,FR,39670948.45
DEMO000002,Households,NL,42407059.67
DEMO000003,Government,NL,13477446.73
DEMO000003,Households,DE,30354339.97
DEMO000003,Investment Funds,NL,46946387.17
DEMO000004,Insurance Corporations,FR,8573018.69
DEMO000004,Government,FR,9839757.94
DEMO000005,Households,NL,47469746.8
DEMO000006,Government,FR,40618211.26
DEMO000006,Financial Corporations,NL,13309114.36
DEMO000006,Insurance Corporations,FR,45672930.67
DEMO000007,Households,NL,33917659.86
DEMO000008,Insurance Corporations,DE,21554856.79
DEMO000008,Investment Funds,BE,21682528.1
DEMO000008,Government,FR,12726434.02
DEMO000009,Households,BE,38615282.23
DEMO000010,Insurance Corporations,BE,314858.21
DEMO000010,Households,NL,28601251.37
DEMO000011,Government,NL,25993840.66
DEMO000011,Households,NL,40516042.75
DEMO000012,Financial Corporations,NL,9855241.79
DEMO000012,Insurance Corporations,DE,20561434.47
DEMO000012,Households,NL,24022912.03
DEMO000013,Households,BE,32148395.69
DEMO000014,Financial Corporations,FR,12369191.79
DEMO000014,Government,DE,36517780.79
DEMO000014,Investment Funds,NL,37753199.6
DEMO000015,Government,NL,23245022.71
DEMO000015,Investment Funds,NL,14542542.4
DEMO000015,Financial Corporations,NL,39823416.34
DEMO000016,Government,FR,13374940.54
DEMO000017,Households,NL,20162185.13
DEMO000017,Financial Corporations,NL,11312004.78
DEMO000017,Insurance Corporations,BE,42348885.42
DEMO000018,Government,NL,31998591.98
DEMO000018,Insurance Corporations,NL,39166973.18
DEMO000019,Insurance Corporations,DE,42564756.29
DEMO000020,Government,NL,15359431.41
DEMO000020,Households,BE,30983927.42
DEMO000020,Financial Corporations,BE,38022347.5
DEMO000021,Financial Corporations,NL,36445910.79
DEMO000021,Government,BE,22117015.15
DEMO000022,Government,NL,37264069.3
DEMO000023,Government,FR,5980410.66
DEMO000023,Financial Corporations,FR,11993092.62
DEMO000024,Insurance Corporations,FR,25313318.42
DEMO000025,Government,BE,45666372.14
DEMO000025,Investment Funds,BE,12411580.17
DEMO000026,Households,BE,48035251.65
DEMO000026,Insurance Corporations,NL,36119632.98
DEMO000026,Investment Funds,DE,45901213.83
DEMO000027,Insurance Corporations,FR,49332774.47
DEMO000027,Financial Corporations,FR,4781010.42
DEMO000027,Households,DE,20677508.22
DEMO000028,Financial Corporations,FR,19200879.82
DEMO000028,Households,BE,49000929.14
DEMO000029,Government,NL,16909141.54
DEMO000029,Households,BE,30357505.73
DEMO000030,Households,BE,1320096.96
DEMO000031,Financial Corporations,FR,2854976.84
DEMO000031,Insurance Corporations,FR,17478966.58
DEMO000031,Government,DE,43268501.57
DEMO000032,Financial Corporations,BE,12954869.55
DEMO000032,Insurance Corporations,NL,43343780.72
DEMO000032,Households,DE,37328792.15
DEMO000033,Insurance Corporations,FR,12360417.18
DEMO000033,Households,DE,11614240.63
DEMO000033,Investment Funds,BE,1456388.46
DEMO000034,Households,NL,37225336.66
DEMO000034,Investment Funds,FR,26627484.64
DEMO000035,Investment Funds,NL,32057916.68
DEMO000036,Government,BE,17543224.21
DEMO000036,Insurance Corporations,BE,28972603.91
DEMO000037,Households,BE,16674936.08
DEMO000037,Financial Corporations,FR,8539821.9
DEMO000037,Insurance Corporations,BE,10667430.96
DEMO000038,Financial Corporations,NL,3658096.26
DEMO000039,Financial Corporations,BE,3795478.4
DEMO000040,Financial Corporations,FR,29053986.82
DEMO000041,Government,BE,26154042.14
DEMO000041,Financial Corporations,DE,35666209.72
DEMO000041,Households,FR,22424898.31
DEMO000042,Financial Corporations,DE,7761224.16
DEMO000042,Investment Funds,BE,12392976.86
DEMO000042,Insurance Corporations,BE,42119300.57
DEMO000043,Households,DE,34333888.49
DEMO000044,Government,BE,15452506.77
DEMO000044,Households,BE,10909455.97
DEMO000045,Investment Funds,NL,28484806.89
DEMO000045,Households,DE,14562722.28
DEMO000046,Investment Funds,DE,31214963.85
DEMO000046,Insurance Corporations,FR,6840481.63
DEMO000047,Households,FR,34161147.3
DEMO000048,Households,DE,11196159.6
DEMO000048,Insurance Corporations,DE,22104035.33
DEMO000048,Financial Corporations,NL,37171024.86
DEMO000049,Financial Corporations,NL,25009791.85
DEMO000049,Government,BE,31023997.53
DEMO000049,Households,BE,46405733.35
DEMO000050,Households,FR,36902005.35
DEMO000050,Investment Funds,FR,3685331.74
DEMO000051,Insurance Corporations,DE,24725978.36
DEMO000051,Investment Funds,FR,23469194.68
DEMO000052,Investment Funds,NL,4849858.16
DEMO000052,Government,DE,128349.65
DEMO000052,Households,NL,21654088.48
DEMO000053,Households,FR,28542146.89
DEMO000053,Investment Funds,NL,7798727.96
DEMO000054,Government,BE,31369296.96
DEMO000055,Financial Corporations,DE,32113910.17
DEMO000056,Investment Funds,DE,11610888.35
DEMO000057,Government,BE,49941547.69
DEMO000057,Financial Corporations,DE,11274888.71
DEMO000057,Households,BE,14415931.44
DEMO000058,Households,FR,49676773.9
DEMO000058,Insurance Corporations,FR,49514876.55
DEMO000059,Investment Funds,DE,43012530.13
DEMO000060,Government,NL,41658569.03
DEMO000060,Insurance Corporations,DE,15229783.62
DEMO000061,Investment Funds,BE,45314729.86
DEMO000061,Households,DE,39942572.41
DEMO000062,Financial Corporations,FR,25324590.69
DEMO000062,Insurance Corporations,NL,31869846.97
DEMO000062,Investment Funds,FR,20475318.83
DEMO000063,Insurance Corporations,FR,42540991.86
DEMO000063,Investment Funds,NL,22369488.7
DEMO000063,Households,DE,11470602.55
DEMO000064,Financial Corporations,BE,27743658.18
DEMO000065,Financial Corporations,BE,8932370.41
DEMO000066,Insurance Corporations,FR,13824048.93
DEMO000067,Financial Corporations,BE,7854316.25
DEMO000067,Households,NL,30367660.13
DEMO000067,Government,NL,22289932.6
DEMO000068,Insurance Corporations,BE,649731.7
DEMO000068,Government,FR,9012348.37
DEMO000068,Investment Funds,BE,45204819.02
DEMO000069,Households,BE,33033313.59
DEMO000069,Investment Funds,NL,36268359.43
DEMO000070,Investment Funds,BE,24753773.82
DEMO000071,Insurance Corporations,DE,2393566.14
DEMO000071,Government,FR,17675403.43
DEMO000071,Households,NL,35599326.45
DEMO000072,Insurance Corporations,FR,30559165.05
DEMO000072,Financial Corporations,FR,38854756.95
DEMO000073,Households,NL,23803619.96
DEMO000073,Insurance Corporations,NL,30209957.28
DEMO000074,Households,FR,8915682.37
DEMO000074,Financial Corporations,DE,41238335.58
DEMO000074,Government,NL,46291764.77
DEMO000075,Insurance Corporations,BE,46255627.39
DEMO000075,Government,FR,47601246.63
DEMO000076,Investment Funds,NL,38174662.91
DEMO000077,Government,NL,42504480.97
DEMO000077,Financial Corporations,FR,30730029.96
DEMO000077,Investment Funds,BE,30775363.53
DEMO000078,Investment Funds,DE,28634914.63
DEMO000079,Financial Corporations,FR,36516060.28
DEMO000079,Households,NL,42464023.29
DEMO000080,Insurance Corporations,FR,48475983.33
DEMO000080,Households,DE,36682911.28
