PERIOD,IDENTIFIER,INSTR_CLASS,ISSUER_COUNTRY,pd,vol,debt_ratio,nace_lvl4,nace_lvl2,nace_lvl,resid_mat_yr
2024-Q4,DEMO000000,F_511,JP,0.026,0.325,0.666,,60,2,
2024-Q4,DEMO000001,F_511,US,0.0301,0.188,0.69,,2,2,
2024-Q4,DEMO000002,F_32,NL,0.018,0.419,0.235,,29,2,9.0
2024-Q4,DEMO000003,F_511,PT,0.0285,0.414,0.269,,50,2,
2024-Q4,DEMO000004,F_32,AT,0.0607,0.311,0.595,,60,2,13.0
2024-Q4,DEMO000005,F_32,PT,0.0061,0.337,0.335,,20,2,12.0
2024-Q4,DEMO000006,F_32,JP,0.067,0.232,0.642,,72,2,5.0
2024-Q4,DEMO000007,F_511,BE,0.0692,0.165,0.532,,65,2,
2024-Q4,DEMO000008,F_32,FR,0.0329,0.328,0.256,,6,2,6.0
2024-Q4,DEMO000009,F_511,AT,0.0165,0.238,0.616,,60,2,
2024-Q4,DEMO000010,F_32,IT,0.0501,0.349,0.288,,60,2,14.0
2024-Q4,DEMO000011,F_511,CN,0.014,0.401,0.412,,15,2,
2024-Q4,DEMO000012,F_511,AT,0.0324,0.155,0.476,,65,2,
2024-Q4,DEMO000013,F_32,FR,0.0769,0.329,0.45,,72,2,14.0
2024-Q4,DEMO000014,F_511,CA,0.0797,0.219,0.543,,69,2,
2024-Q4,DEMO000015,F_32,ES,0.0629,0.412,0.526,,65,2,10.0
2024-Q4,DEMO000016,F_32,BE,0.0283,0.226,0.696,,50,2,11.0
2024-Q4,DEMO000017,F_32,GR,0.0566,0.333,0.7,,10,2,7.0
2024-Q4,DEMO000018,F_32,HR,0.0579,0.316,0.458,,65,2,7.0
2024-Q4,DEMO000019,F_32,PL,0.0341,0.269,0.248,,15,2,7.0
2024-Q4,DEMO000020,F_511,FI,0.0531,0.353,0.564,,29,2,
2024-Q4,DEMO000021,F_511,CA,0.0058,0.368,0.688,,10,2,
2024-Q4,DEMO000022,F_511,HR,0.0207,0.32,0.359,,10,2,
2024-Q4,DEMO000023,F_511,ES,0.0444,0.378,0.431,,3,2,
2024-Q4,DEMO000024,F_511,CA,0.0173,0.445,0.412,,85,2,
2024-Q4,DEMO000025,F_511,CN,0.0174,0.276,0.226,,3,2,
2024-Q4,DEMO000026,F_32,GR,0.0677,0.304,0.536,,2,2,2.0
2024-Q4,DEMO000027,F_32,NL,0.0792,0.154,0.377,,85,2,2.0
2024-Q4,DEMO000028,F_32,IT,0.0467,0.389,0.594,,45,2,11.0
2024-Q4,DEMO000029,F_32,HR,0.0679,0.306,0.616,,20,2,2.0
2024-Q4,DEMO000030,F_32,BE,0.0793,0.272,0.611,,65,2,8.0
2024-Q4,DEMO000031,F_32,PL,0.0156,0.178,0.408,,15,2,11.0
2024-Q4,DEMO000032,F_32,JP,0.0386,0.417,0.361,,2,2,11.0
2024-Q4,DEMO000033,F_511,AT,0.0344,0.269,0.574,,60,2,
2024-Q4,DEMO000034,F_511,PT,0.011,0.355,0.601,,3,2,
2024-Q4,DEMO000035,F_511,BE,0.0616,0.195,0.446,,45,2,
2024-Q4,DEMO000036,F_32,PT,0.0375,0.438,0.647,,85,2,12.0
2024-Q4,DEMO000037,F_32,FR,0.0402,0.204,0.272,,85,2,9.0
2024-Q4,DEMO000038,F_511,NL,0.0163,0.21,0.64,,15,2,
2024-Q4,DEMO000039,F_32,CA,0.0186,0.408,0.248,,65,2,1.0
2024-Q4,DEMO000040,F_32,BE,0.073,0.424,0.277,,50,2,5.0
2024-Q4,DEMO000041,F_32,IT,0.0083,0.214,0.467,,29,2,3.0
2024-Q4,DEMO000042,F_32,BE,0.0225,0.291,0.234,,3,2,13.0
2024-Q4,DEMO000043,F_32,CN,0.0269,0.37,0.226,,15,2,3.0
2024-Q4,DEMO000044,F_511,PT,0.0418,0.414,0.2,,50,2,
2024-Q4,DEMO000045,F_32,US,0.049,0.264,0.418,,85,2,14.0
2024-Q4,DEMO000046,F_511,FR,0.042,0.305,0.587,,1,2,
2024-Q4,DEMO000047,F_32,GR,0.0113,0.373,0.217,,60,2,4.0
2024-Q4,DEMO000048,F_511,PL,0.0233,0.369,0.526,,69,2,
2024-Q4,DEMO000049,F_32,US,0.0683,0.385,0.612,,85,2,8.0
2024-Q4,DEMO000050,F_32,JP,0.0528,0.321,0.284,,20,2,10.0
2024-Q4,DEMO000051,F_32,NL,0.0537,0.181,0.273,,2,2,14.0
2024-Q4,DEMO000052,F_511,PL,0.0553,0.421,0.63,,10,2,
2024-Q4,DEMO000053,F_32,AT,0.0622,0.41,0.612,,69,2,14.0
2024-Q4,DEMO000054,F_32,ES,0.0094,0.389,0.469,,72,2,1.0
2024-Q4,DEMO000055,F_32,JP,0.0325,0.18,0.61,,50,2,4.0
2024-Q4,DEMO000056,F_32,ES,0.0455,0.211,0.246,,2,2,8.0
2024-Q4,DEMO000057,F_32,US,0.0304,0.373,0.397,,2,2,1.0
2024-Q4,DEMO000058,F_32,GR,0.0683,0.157,0.569,,29,2,5.0
2024-Q4,DEMO000059,F_511,DE,0.0412,0.444,0.329,,45,2,
2024-Q4,DEMO000060,F_32,FI,0.0626,0.263,0.576,,1,2,14.0
2024-Q4,DEMO000061,F_511,HR,0.0689,0.366,0.452,,60,2,
2024-Q4,DEMO000062,F_32,US,0.0429,0.416,0.575,,45,2,3.0
2024-Q4,DEMO000063,F_511,IT,0.0732,0.268,0.432,,1,2,
2024-Q4,DEMO000064,F_32,CN,0.049,0.246,0.384,,2,2,3.0
2024-Q4,DEMO000065,F_32,JP,0.0688,0.333,0.31,,20,2,8.0
2024-Q4,DEMO000066,F_32,US,0.0305,0.324,0.304,,60,2,6.0
2024-Q4,DEMO000067,F_32,IT,0.0424,0.273,0.576,,69,2,13.0
2024-Q4,DEMO000068,F_32,ES,0.0449,0.331,0.259,,20,2,4.0
2024-Q4,DEMO000069,F_511,FR,0.0129,0.431,0.243,,10,2,
2024-Q4,DEMO000070,F_32,AT,0.0349,0.29,0.288,,85,2,10.0
2024-Q4,DEMO000071,F_511,FI,0.0738,0.209,0.288,,20,2,
2024-Q4,DEMO000072,F_32,CN,0.0523,0.263,0.612,,10,2,12.0
2024-Q4,DEMO000073,F_511,FR,0.0183,0.268,0.399,,20,2,
2024-Q4,DEMO000074,F_32,AT,0.0304,0.189,0.695,,1,2,8.0
2024-Q4,DEMO000075,F_32,PL,0.0194,0.199,0.269,,10,2,12.0
2024-Q4,DEMO000076,F_32,CA,0.0069,0.355,0.527,,29,2,13.0
2024-Q4,DEMO000077,F_32,JP,0.0746,0.252,0.424,,72,2,9.0
2024-Q4,DEMO000078,F_32,ES,0.0386,0.436,0.396,,65,2,10.0
2024-Q4,DEMO000079,F_511,GR,0.0281,0.223,0.638,,65,2,
2024-Q4,DEMO000080,F_32,HR,0.0499,0.18,0.688,,45,2,9.0
2024-Q4,DEMO000081,F_32,DE,0.0055,0.376,0.636,,2,2,14.0
2024-Q4,DEMO000082,F_511,ES,0.0259,0.414,0.296,,15,2,
2024-Q4,DEMO000083,F_511,DE,0.0577,0.233,0.31,,85,2,
2024-Q4,DEMO000084,F_32,CA,0.0525,0.211,0.528,,1,2,2.0
2024-Q4,DEMO000085,F_511,PT,0.0786,0.206,0.345,,72,2,
2024-Q4,DEMO000086,F_32,JP,0.0515,0.307,0.567,,60,2,7.0
2024-Q4,DEMO000087,F_32,JP,0.0408,0.291,0.483,,10,2,4.0
2024-Q4,DEMO000088,F_32,CA,0.0621,0.228,0.475,,65,2,6.0
2024-Q4,DEMO000089,F_511,AT,0.0727,0.164,0.614,,69,2,
2024-Q4,DEMO000090,F_32,CN,0.0591,0.294,0.555,,1,2,9.0
2024-Q4,DEMO000091,F_32,AT,0.0772,0.438,0.213,,2,2,14.0
2024-Q4,DEMO000092,F_32,GR,0.0637,0.346,0.225,,50,2,12.0
2024-Q4,DEMO000093,F_32,IT,0.07,0.299,0.501,,85,2,6.0
2024-Q4,DEMO000094,F_32,FI,0.0136,0.183,0.443,,1,2,5.0
2024-Q4,DEMO000095,F_32,BE,0.0599,0.226,0.33,,50,2,11.0
2024-Q4,DEMO000096,F_32,DE,0.038,0.238,0.409,,3,2,2.0
2024-Q4,DEMO000097,F_511,JP,0.0465,0.379,0.579,,50,2,
2024-Q4,DEMO000098,F_32,FI,0.0541,0.413,0.613,,50,2,6.0
2024-Q4,DEMO000099,F_32,ES,0.0777,0.42,0.481,,2,2,3.0
2024-Q4,DEMO000100,F_32,CN,0.0788,0.445,0.393,,60,2,9.0
2024-Q4,DEMO000101,F_32,BE,0.0266,0.445,0.335,,72,2,5.0
2024-Q4,DEMO000102,F_511,CN,0.06,0.436,0.461,,69,2,
2024-Q4,DEMO000103,F_32,CN,0.0612,0.172,0.357,,1,2,10.0
2024-Q4,DEMO000104,F_32,IT,0.031,0.191,0.482,,6,2,3.0
2024-Q4,DEMO000105,F_32,BE,0.0143,0.241,0.538,,6,2,10.0
2024-Q4,DEMO000106,F_32,BE,0.0081,0.316,0.233,,20,2,3.0
2024-Q4,DEMO000107,F_32,ES,0.0633,0.179,0.201,,3,2,7.0
2024-Q4,DEMO000108,F_32,IT,0.0417,0.404,0.306,,69,2,12.0
2024-Q4,DEMO000109,F_511,BE,0.0789,0.335,0.647,,65,2,
2024-Q4,DEMO000110,F_511,GR,0.0399,0.313,0.523,,69,2,
2024-Q4,DEMO000111,F_511,AT,0.0783,0.2,0.286,,3,2,
2024-Q4,DEMO000112,F_32,HR,0.0359,0.226,0.645,,1,2,13.0
2024-Q4,DEMO000113,F_32,NL,0.0645,0.198,0.435,,72,2,3.0
2024-Q4,DEMO000114,F_511,PT,0.0114,0.406,0.438,,10,2,
2024-Q4,DEMO000115,F_32,NL,0.0467,0.325,0.668,,50,2,14.0
2024-Q4,DEMO000116,F_511,DE,0.0652,0.371,0.23,,72,2,
2024-Q4,DEMO000117,F_32,BE,0.0744,0.239,0.308,,1,2,3.0
2024-Q4,DEMO000118,F_511,JP,0.0667,0.261,0.493,,1,2,
2024-Q4,DEMO000119,F_32,NL,0.0078,0.271,0.298,,1,2,2.0
2024-Q4,DEMO000120,F_32,FR,0.033,0.378,0.54,,3,2,9.0
2024-Q4,DEMO000121,F_32,IT,0.0087,0.382,0.307,,1,2,7.0
2024-Q4,DEMO000122,F_32,HR,0.0132,0.212,0.25,,69,2,8.0
2024-Q4,DEMO000123,F_32,PL,0.0556,0.432,0.303,,50,2,8.0
2024-Q4,DEMO000124,F_511,US,0.0585,0.186,0.411,,85,2,
2024-Q4,DEMO000125,F_511,FR,0.063,0.419,0.288,,69,2,
2024-Q4,DEMO000126,F_32,JP,0.0699,0.18,0.267,,85,2,14.0
2024-Q4,DEMO000127,F_511,FI,0.0605,0.229,0.63,,6,2,
2024-Q4,DEMO000128,F_511,CA,0.0651,0.404,0.36,,10,2,
2024-Q4,DEMO000129,F_32,HR,0.0087,0.204,0.38,,69,2,14.0
2024-Q4,DEMO000130,F_511,PT,0.0226,0.274,0.228,,6,2,
2024-Q4,DEMO000131,F_32,CN,0.0516,0.285,0.379,,1,2,7.0
