region,area
AT,European Union (EU)
BE,European Union (EU)
BG,European Union (EU)
HR,European Union (EU)
CY,European Union (EU)
CZ,European Union (EU)
DK,European Union (EU)
EE,European Union (EU)
FI,European Union (EU)
FR,European Union (EU)
DE,European Union (EU)
GR,European Union (EU)
HU,European Union (EU)
IE,European Union (EU)
IT,European Union (EU)
LV,European Union (EU)
LT,European Union (EU)
LU,European Union (EU)
MT,European Union (EU)
NL,European Union (EU)
PL,European Union (EU)
PT,European Union (EU)
RO,European Union (EU)
SK,European Union (EU)
SI,European Union (EU)
ES,European Union (EU)
SE,European Union (EU)
US,North America
CA,North America
MX,North America
AR,South America
BO,South America
BR,South America
CL,South America
CO,South America
EC,South America
GY,South America
PY,South America
PE,South America
SR,South America
UY,South America
VE,South America
AO,Sub-Saharan Africa
BF,Sub-Saharan Africa
BI,Sub-Saharan Africa
BJ,Sub-Saharan Africa
BW,Sub-Saharan Africa
CD,Sub-Saharan Africa
CF,Sub-Saharan Africa
CG,Sub-Saharan Africa
CI,Sub-Saharan Africa
CM,Sub-Saharan Africa
DJ,Sub-Saharan Africa
DZ,Sub-Saharan Africa
ER,Sub-Saharan Africa
ET,Sub-Saharan Africa
GA,Sub-Saharan Africa
GH,Sub-Saharan Africa
GM,Sub-Saharan Africa
GN,Sub-Saharan Africa
GQ,Sub-Saharan Africa
KE,Sub-Saharan Africa
LR,Sub-Saharan Africa
LS,Sub-Saharan Africa
MG,Sub-Saharan Africa
ML,Sub-Saharan Africa
MR,Sub-Saharan Africa
MU,Sub-Saharan Africa
MW,Sub-Saharan Africa
MZ,Sub-Saharan Africa
NA,Sub-Saharan Africa
NE,Sub-Saharan Africa
NG,Sub-Saharan Africa
RW,Sub-Saharan Africa
SC,Sub-Saharan Africa
SD,Sub-Saharan Africa
SL,Sub-Saharan Africa
SN,Sub-Saharan Africa
SO,Sub-Saharan Africa
SS,Sub-Saharan Africa
ST,Sub-Saharan Africa
SZ,Sub-Saharan Africa
TD,Sub-Saharan Africa
TG,Sub-Saharan Africa
TZ,Sub-Saharan Africa
UG,Sub-Saharan Africa
ZM,Sub-Saharan Africa
ZW,Sub-Saharan Africa
AE,Middle East & North Africa (MENA)
BH,Middle East & North Africa (MENA)
DZ,Middle East & North Africa (MENA)
EG,Middle East & North Africa (MENA)
IQ,Middle East & North Africa (MENA)
IR,Middle East & North Africa (MENA)
IL,Middle East & North Africa (MENA)
JO,Middle East & North Africa (MENA)
KW,Middle East & North Africa (MENA)
LB,Middle East & North Africa (MENA)
LY,Middle East & North Africa (MENA)
MA,Middle East & North Africa (MENA)
OM,Middle East & North Africa (MENA)
PS,Middle East & North Africa (MENA)
QA,Middle East & North Africa (MENA)
SA,Middle East & North Africa (MENA)
SY,Middle East & North Africa (MENA)
TN,Middle East & North Africa (MENA)
TR,Middle East & North Africa (MENA)
YE,Middle East & North Africa (MENA)
CN,East Asia
JP,East Asia
KR,East Asia
MN,East Asia
TW,East Asia
AF,South Asia
BD,South Asia
BT,South Asia
IN,South Asia
LK,South Asia
NP,South Asia
PK,South Asia
BN,Southeast Asia
KH,Southeast Asia
ID,Southeast Asia
LA,Southeast Asia
MY,Southeast Asia
MM,Southeast Asia
PH,Southeast Asia
SG,Southeast Asia
TH,Southeast Asia
TL,Southeast Asia
VN,Southeast Asia
AU,Oceania
NZ,Oceania
FJ,Oceania
PG,Oceania
SB,Oceania
VU,Oceania
KZ,Central Asia
KG,Central Asia
TJ,Central Asia
TM,Central Asia
UZ,Central Asia
BY,Eastern Europe (non-EU)
MD,Eastern Europe (non-EU)
RU,Eastern Europe (non-EU)
UA,Eastern Europe (non-EU)
