relatienummer,rapportageset,formulier_id,volgnummer,periode,inzendmoment,laad_dts,eind_dts,categorie,relatienaam,verkorte_naam,toezichtklasse,activiteitstatus,hoofdcategorie,subcategorie,ziektekosten,rechtsopvolger,concern_id,concern_naam,rapportageID,A,R0110C0020,R0120C0020,R0210C0020,R0221C0020,R0230C0020,R0231C0020,R0240C0020,R0250C0020,R0261C0020,R0270C0020,R0271C0020,R0280C0020,R0291C0020,R0292C0020,R0293C0020,R0294C0020,R0295C0020,R0296C0020,R0297C0020,R0298C0020,R0300C0020,R0410C0020,R0412C0020,R0413C0020,R0414C0020,R0430C0020,R0440C0020,R0450C0020,R0461C0020,R0462C0020,R0480C0020,R0481C0020,R0482C0020,R0483C0020,R0500C0020,R0610C0020,R0620C0020,R0110C0030,R0120C0030,R0210C0030,R0250C0030,R0291C0030,R0292C0030,R0300C0030,R0410C0030,R0412C0030,R0413C0030,R0414C0030,R0430C0030,R0440C0030,R0450C0030,R0461C0030,R0462C0030,R0480C0030,R0481C0030,R0482C0030,R0483C0030,R0610C0030,R0620C0030,R0110C0040,R0120C0040,R0210C0040,R0221C0040,R0230C0040,R0231C0040,R0240C0040,R0250C0040,R0261C0040,R0270C0040,R0271C0040,R0280C0040,R0291C0040,R0292C0040,R0293C0040,R0294C0040,R0295C0040,R0296C0040,R0297C0040,R0298C0040,R0300C0040,R0410C0040,R0412C0040,R0413C0040,R0414C0040,R0430C0040,R0440C0040,R0450C0040,R0461C0040,R0462C0040,R0480C0040,R0481C0040,R0482C0040,R0483C0040,R0610C0040,R0620C0040,R0110C0050,R0120C0050,R0210C0050,R0250C0050,R0291C0050,R0292C0050,R0300C0050,R0410C0050,R0412C0050,R0413C0050,R0414C0050,R0430C0050,R0440C0050,R0450C0050,R0461C0050,R0462C0050,R0480C0050,R0481C0050,R0482C0050,R0483C0050,R0610C0050,R0620C0050,R0110C0070,R0120C0070,R0210C0070,R0250C0070,R0291C0070,R0292C0070,R0300C0070,R0410C0070,R0412C0070,R0413C0070,R0414C0070,R0430C0070,R0440C0070,R0450C0070,R0461C0070,R0462C0070,R0480C0070,R0481C0070,R0482C0070,R0483C0070,R0610C0070,R0620C0070,PAGEs2c_AO,R0220C0020,R0260C0020,R0460C0020,R0470C0020,R0460C0030,R0470C0030,R0220C0040,R0260C0040,R0460C0040,R0470C0040,R0460C0050,R0470C0050,R0460C0070,R0470C0070,R0290C0020,R0411C0020,R0290C0030,R0411C0030,R0290C0040,R0411C0040,R0290C0050,R0411C0050,R0290C0070,R0411C0070
W0164,VRZSOLV2ARS,S_26_01_01_01,1,31-12-2016,28APR2017:09:06:00,28APR2017:21:04:13,01MAY2017:21:06:14,"Schade, exclusief zorg",Onderlinge Verzekering Maatschappij Donatus U.A.,Donatus Onderlinge Verzekering Maatschappij U.A.,T2,Actief,Verzekeraars,"Schade, exclusief zorg",,,W0164,Onderlinge Verzekering Maatschappij Donatus U.A.,2,1.0,44159767.07,44159767.07,22826709.25,,0.0,,0.0,3199988.26,,0.0,,0.0,,,,,,,,,1459672.33,38975928.93,38975928.93,,,,,0.0,,,0.0,,,,74294176.45,22395981.46,22395981.46,-34929980.51,-34929980.51,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,44369977.29,42198089.61,14252997.26,,0.0,,0.0,1678073.84,,0.0,,0.0,,,,,,,,,1094754.25,36598602.13,36598602.13,,,,,0.0,,,0.0,,,,27954410.33,16837552.59,-34931640.41,-34106901.02,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,-34931640.41,-34106901.02,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,No   {s2c_AO:x0},22826709.25,3199988.26,0.0,,0.0,0.0,14252997.26,1678073.84,0.0,,0.0,0.0,0.0,0.0,26026697.51,,0.0,0.0,15931071.1,,0.0,0.0,0.0,0.0
L0155,VRZSOLV2ARS,S_26_01_01_01,1,31-12-2016,26APR2017:10:31:00,01MAY2017:21:04:56,22MAY2017:22:06:34,Leven,Waard Leven N.V.,Waard Leven N.V.,T3,Niet actief,Verzekeraars,Levensverzekeraar,,,L0155,Waard Leven N.V.,3,1.0,82611145.362,82611145.362,4799937.544,,,,,0.0,,,,,,,,,,,,,,36876373.12,,,,,0.0,,,,,,,,42436.99,3155768.35,3155768.35,56059568.9402,56059568.9402,,,,,,,,,,,0.0,,,,,,,,,,82885847.632,79244316.812,2997081.0025,,,,,0.0,,,,,,,,,,,,,,35325119.89,,,,,,,,,,,,,3944710.4375,2366826.2625,56504969.0502,52860522.1202,,,,,,,,,,,,,,,,,,,,,56504969.0502,52860522.1202,,,,,,,,,,,,,,,,,,,,,No,4799937.544,,,,,,2997081.0025,,,,,,,,,,,,,,,,,
W0164,VRZSOLV2ARS,S_26_01_01_01,1,31-12-2016,28APR2017:09:06:00,01MAY2017:21:06:15,12MAY2017:21:15:45,"Schade, exclusief zorg",Onderlinge Verzekering Maatschappij Donatus U.A.,Donatus Onderlinge Verzekering Maatschappij U.A.,T2,Actief,Verzekeraars,"Schade, exclusief zorg",,,W0164,Onderlinge Verzekering Maatschappij Donatus U.A.,4,1.0,44159767.07,44159767.07,22826709.25,,0.0,,0.0,3199988.26,,0.0,,0.0,,,,,,,,,1459672.33,38975928.93,38975928.93,,,,,0.0,,,0.0,,,,74294176.45,22395981.46,22395981.46,-34929980.51,-34929980.51,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,44369977.29,42198089.61,14252997.26,,0.0,,0.0,1678073.84,,0.0,,0.0,,,,,,,,,1094754.25,36598602.13,36598602.13,,,,,0.0,,,0.0,,,,27954410.33,16837552.59,-34931640.41,-34106901.02,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,-34931640.41,-34106901.02,0.0,0.0,,,0.0,0.0,0.0,,,,,0.0,,,0.0,,,,0.0,0.0,No,22826709.25,3199988.26,0.0,,0.0,0.0,14252997.26,1678073.84,0.0,,0.0,0.0,0.0,0.0,26026697.51,,0.0,0.0,15931071.1,,0.0,0.0,0.0,0.0
L0127,VRZSOLV2ARS,S_26_01_01_01,1,31-12-2016,04MAY2017:16:50:00,05MAY2017:21:09:59,10MAY2017:21:02:41,Leven,Allianz Nederland Levensverzekering N.V.,Allianz Nederland Levensverzekering N.V.,T3,Niet actief,Verzekeraars,Levensverzekeraar,,R192391,C0023,Allianz Nederland Groep N.V.,5,1.0,4901697840.43,4901697840.43,2600879487.18,,0.0,,0.0,1636414.33,,0.0,,0.0,,,,,,,,,0.0,1019535483.3,1019535483.3,,,0.0,0.0,30520316.98,,,0.0,,,,1350120686.95,4694742.81,4694742.81,4405444322.02,4405444322.02,2537991170.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,4954765735.47,4675690027.34,2039719225.74,,0.0,,0.0,857972.01,,0.0,,0.0,,,,,,,,,0.0,926824387.38,926824387.38,,,0.0,0.0,25876829.86,,,0.0,,,,4694742.81,3521056.97,4462946005.42,4192294492.28,2001143734.7,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,4462946005.42,4192294492.28,2001143734.7,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,No,2600879487.18,1636414.33,30520316.98,0.0,0.0,0.0,2039719225.74,857972.01,25876829.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W1978,VRZSOLV2ARS,S_26_01_01_01,1,31-12-2016,04MAY2017:20:21:00,05MAY2017:21:15:43,11MAY2017:21:16:04,Zorg,Menzis Zorgverzekeraar N.V.,Menzis Zorgverzekeraar N.V.,T4,Actief,Verzekeraars,Zorg,Basis,,C0069,Coöperatie Menzis U.A.,6,1.0,1885016576.16539,1885016576.16539,297212939.014432,,,,,39503731.8942865,,,,,,,,,,,,,102173.01,706753216.355263,706753216.355263,,,,,,,,,,,,1030890722.00307,27172437.497338,27172437.497338,2025681820.06001,2025681820.06001,,,,,,,,,,,,,,,,,,,,,1887564433.07917,1856973270.58202,185570842.732441,,,,,20714571.893407,,,,,,,,,,,,,76629.7575,705582758.546945,705582758.546945,,,,,,,,,,,,33970346.0653216,20374528.9293544,2025681820.06001,1999194783.08632,,,,,,,,,,,,,,,,,,,,,2025681820.06001,1999194783.08632,,,,,,,,,,,,,,,,,,,,,No   {s2c_AO:x0},297212939.014432,39503731.8942865,,,,,185570842.732441,20714571.893407,,,,,,,,,,,,,,,,
W1786,VRZSOLV2ARS,S_26_01_01_01,1,31-12-2016,08MAY2017:16:40:00,09MAY2017:21:04:00,23MAY2017:22:07:38,"Schade, exclusief zorg",Loyalis Schade N.V.,Loyalis Schade N.V.,T3,Niet actief,Verzekeraars,"Schade, exclusief zorg",,W0132,C0068,Loyalis N.V.,7,1.0,916261888.52,916261888.52,0.0,,0.0,,0.0,32065851.48,,0.0,,0.0,,,,,,,,,50769573.1,612294567.18,,,,0.0,0.0,239877933.12,,,,,,,0.0,1007313388.61,1007313388.61,682012292.56,682012292.56,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,928882643.23,863954993.06,0.0,,0.0,,0.0,22802026.99,,0.0,,0.0,,,,,,,,,35717835.05,594235169.29,,,,0.0,0.0,228662272.96,,,,,,,1007661189.57,1006965587.66,688947366.54,625209579.55,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,688947366.54,638857810.66,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,No   {s2c_AO:x0},0.0,32065851.48,239877933.12,,0.0,,0.0,22802026.99,228662272.96,,0.0,,0.0,,,,,,,,,,,
W1940,VRZSOLV2ARS,S_26_01_01_01,1,31-12-2016,09MAY2017:10:35:00,09MAY2017:21:05:28,23MAY2017:22:33:15,"Schade, exclusief zorg",Woningborg N.V.,Woningborg N.V.,T2,Actief,Verzekeraars,"Schade, exclusief zorg",,,C0105,Woningborg Holding B.V.,8,1.0,70353179.0,70353179.0,40830612.0,,,,,3798710.0,,,,,,,,,,,,,6040000.0,46192842.0,,,,,,,,,,,,,126267000.0,9085951.0,9085951.0,16890461.0,16890461.0,0.0,0.0,,,,,,,,,,,,,,,,,,,71194855.0,65907628.0,25494634.0,,,,,1992044.0,,,,,,,,,,,,,4530000.0,41492197.0,,,,,,,,,,,,,6814463.0,,16909445.0,16417423.0,0.0,,,,,,,,,,,,,,,,,,,,16909444.0,16417423.0,0.0,,,,,,,,,,,,,,,,,,6814463.0,,No   {s2c_AO:x0},40830612.0,3798710.0,,,,,25494634.0,1992044.0,,,,,,,,,,,,,,,,
L0127,VRZSOLV2ARS,S_26_01_01_01,2,31-12-2016,09MAY2017:16:49:00,10MAY2017:21:02:42,11MAY2017:21:13:47,Leven,Allianz Nederland Levensverzekering N.V.,Allianz Nederland Levensverzekering N.V.,T3,Niet actief,Verzekeraars,Levensverzekeraar,,R192391,C0023,Allianz Nederland Groep N.V.,9,1.0,4901697840.43,4901697840.43,2600879487.18,,0.0,,0.0,1636414.33,,0.0,,0.0,,,,,,,,,0.0,1019535483.3,1019535483.3,,,0.0,0.0,30520316.98,,,0.0,,,,1350120686.95,4694742.81,4694742.81,4405444322.02,4405444322.02,2537991170.0,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,4954765735.47,4675690027.34,2039719225.74,,0.0,,0.0,857972.01,,0.0,,0.0,,,,,,,,,0.0,926824387.38,926824387.38,,,0.0,0.0,25876829.86,,,0.0,,,,4694742.81,3521056.97,4462946005.42,4192294492.28,2001143734.7,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,4462946005.42,4192294492.28,2001143734.7,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,No,2600879487.18,1636414.33,30520316.98,0.0,0.0,0.0,2039719225.74,857972.01,25876829.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L0119,VRZSOLV2ARS,S_26_01_01_01,1,31-12-2016,10MAY2017:17:43:00,11MAY2017:21:03:07,17MAY2017:21:27:20,Leven,SCILDON N.V.,Legal & General Nederland Levensverzekering Maatschappij N.V,T3,Actief,Verzekeraars,Levensverzekeraar,,,L0119,SCILDON N.V.,10,1.0,1161577336.0,1161577336.0,662688469.0,,,,,0.0,,,,,,,,,,,,,7175719.0,539723087.0,,,,,0.0,,,,,,,,,61375974.0,61375974.0,1655379968.0,1655379968.0,565375258.0,,,,,,,,,,0.0,,,,,,,,59235411.0,59235411.0,1168123593.0,1111647096.0,413764628.0,,,,,0.0,,,,,,,,,,,,,5381789.0,491976891.0,,,,,,,,,,,,,46035234.0,76716714.0,1664510074.0,1601074885.0,354604338.0,,,,,,,,,,,,,,,,,,44503232.0,73973147.0,1664510074.0,1601074885.0,354604338.0,,,,,,,,,,,,,,,,,,44503232.0,73973147.0,No   {s2c_AO:x0},662688469.0,,,,,,413764628.0,,,,,,,,,,,,,,,,,
L0192,VRZSOLV2ARS,S_26_01_01_01,1,31-12-2016,10MAY2017:16:00:00,11MAY2017:21:04:39,23MAY2017:21:22:51,Leven,Hollands Welvaren Leven N.V. in liquidatie,Hollands Welvaren Leven N.V.,T3,Niet actief,Verzekeraars,Levensverzekeraar,,,L0192,Hollands Welvaren Leven N.V. in liquidatie,11,1.0,2025987.2465,2025987.2465,36614717.494,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,297436.7828,297436.7828,37388991.23,37388991.23,37388991.23,,,,,,,,,,0.0,,,,,,,,,,2028017.3365,1977065.5865,22862229.6,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,223077.5871,371795.9786,37395312.66,37432278.42,24159691.946,,,,,,,,,,,,,,,,,,,,37395312.66,37432278.42,24159691.946,,,,,,,,,,,,,,,,,,,,No   {s2c_AO:x0},36614717.494,,,,,,22862229.6,,,,,,,,,,,,,,,,,
